date,source,catTL,value
2019-12-01,Farmed,High,0.18089479803221
2019-12-01,Farmed,Low,0.14405032742958
2019-12-01,Farmed,Medium,0.12464233265637
2019-12-01,Mixed,Low,1.45766341012841
2019-12-01,Mixed,Medium,0.84060408487971
2019-12-01,Wild,High,0.66982389524853
2019-12-01,Wild,Low,0.06582748046232
2019-12-01,Wild,Medium,0.08602916768799
2020-01-01,Farmed,High,0.14581672982629
2020-01-01,Farmed,Low,0.08781823116896
2020-01-01,Farmed,Medium,0.12550849517536
2020-01-01,Mixed,Low,0.66209591952823
2020-01-01,Mixed,Medium,0.40725175980968
2020-01-01,Wild,High,0.63234576449095
2020-01-01,Wild,Low,0.08147147754757
2020-01-01,Wild,Medium,0.08246702580058
2020-02-01,Farmed,High,0.14268855140837
2020-02-01,Farmed,Low,0.07383598252284
2020-02-01,Farmed,Medium,0.11668110637424
2020-02-01,Mixed,Low,0.5510127789462
2020-02-01,Mixed,Medium,0.3854792406721
2020-02-01,Wild,High,0.67467135352158
2020-02-01,Wild,Low,0.11675524167151001
2020-02-01,Wild,Medium,0.09710296370111
2020-03-01,Farmed,High,0.15982840130651
2020-03-01,Farmed,Low,0.05205570767598
2020-03-01,Farmed,Medium,0.13148024207362
2020-03-01,Mixed,Low,0.54544006531251
2020-03-01,Mixed,Medium,0.43833544301104
2020-03-01,Wild,High,0.84127460437284
2020-03-01,Wild,Low,0.11274249864441
2020-03-01,Wild,Medium,0.15059181514555
2020-04-01,Farmed,High,0.21084609029940002
2020-04-01,Farmed,Low,0.07288694970777
2020-04-01,Farmed,Medium,0.14731569297730002
2020-04-01,Mixed,Low,0.71719262145273
2020-04-01,Mixed,Medium,0.53812998433628
2020-04-01,Wild,High,0.86984478968261
2020-04-01,Wild,Low,0.13704822143044001
2020-04-01,Wild,Medium,0.16084986096525
2020-05-01,Farmed,High,0.19374334724262
2020-05-01,Farmed,Low,0.06690251923888
2020-05-01,Farmed,Medium,0.14221466541584
2020-05-01,Mixed,Low,0.71419883859471
2020-05-01,Mixed,Medium,0.52812237674331
2020-05-01,Wild,High,0.8257320171797901
2020-05-01,Wild,Low,0.20200659197603002
2020-05-01,Wild,Medium,0.13415148964702
2020-06-01,Farmed,High,0.16506245393606
2020-06-01,Farmed,Low,0.06430225964628
2020-06-01,Farmed,Medium,0.12450871228821
2020-06-01,Mixed,Low,0.65554175794797
2020-06-01,Mixed,Medium,0.47526011812918
2020-06-01,Wild,High,0.7415894173804
2020-06-01,Wild,Low,0.17628042175365
2020-06-01,Wild,Medium,0.10431414656861
2020-07-01,Farmed,High,0.14993139347608
2020-07-01,Farmed,Low,0.09169693368527
2020-07-01,Farmed,Medium,0.09475323728901999
2020-07-01,Mixed,Low,0.63863248636594006
2020-07-01,Mixed,Medium,0.43870102357442
2020-07-01,Wild,High,0.73470119127099
2020-07-01,Wild,Low,0.1895087867774
2020-07-01,Wild,Medium,0.09885348895045999
2020-08-01,Farmed,High,0.15813636124716
2020-08-01,Farmed,Low,0.09093599298822
2020-08-01,Farmed,Medium,0.08908564518295001
2020-08-01,Mixed,Low,0.62248798529632
2020-08-01,Mixed,Medium,0.41227264987255996
2020-08-01,Wild,High,0.62088370938126
2020-08-01,Wild,Low,0.14774899351212
2020-08-01,Wild,Medium,0.08240164960762
2020-09-01,Farmed,High,0.19127838540029
2020-09-01,Farmed,Low,0.08967636345081999
2020-09-01,Farmed,Medium,0.11578730830304
2020-09-01,Mixed,Low,0.64931355526469
2020-09-01,Mixed,Medium,0.43214564641322
2020-09-01,Wild,High,0.6720124933885799
2020-09-01,Wild,Low,0.17990589410035002
2020-09-01,Wild,Medium,0.0963638141311
2020-10-01,Farmed,High,0.22258574358594002
